system_size,time,n,mean,plus_sd,minus_sd
large,0.1866892691152302,531,NA,NA,NA
large,0.1867982213838538,530,NA,NA,NA
large,0.18691777631346468,531,NA,NA,NA
large,0.18861377785186628,532,NA,NA,NA
large,0.18934344023552085,531,NA,NA,NA
large,0.19250074506056464,532,NA,NA,NA
large,0.1928077740662786,531,NA,NA,NA
large,0.19619110001617315,530,NA,NA,NA
large,0.2004221959268901,531,NA,NA,NA
large,0.20121050468901192,530,NA,NA,NA
large,0.20149409730819448,529,NA,NA,NA
large,0.2055754268412804,528,NA,NA,NA
large,0.212444611067756,529,NA,NA,NA
large,0.2144411317016207,530,NA,NA,NA
large,0.22322282855667153,529,NA,NA,NA
large,0.22586826927037973,528,NA,NA,NA
large,0.22689608600406538,527,NA,NA,NA
large,0.22690423108722899,526,NA,NA,NA
large,0.22734351561479538,525,NA,NA,NA
large,0.22876384881708636,526,NA,NA,NA
large,0.23039121570073437,525,NA,NA,NA
large,0.24131188534053472,526,NA,NA,NA
large,0.24141851386290591,527,NA,NA,NA
large,0.24271601925204214,526,NA,NA,NA
large,0.24515355521380092,527,NA,NA,NA
large,0.24692371301187702,526,NA,NA,NA
large,0.2497516973535103,525,NA,NA,NA
large,0.2507370296875204,526,NA,NA,NA
large,0.25939005991517883,527,NA,NA,NA
large,0.26060165262769985,528,NA,NA,NA
large,0.26096586652152237,529,NA,NA,NA
large,0.2678398755733584,530,NA,NA,NA
large,0.2785228022358335,531,NA,NA,NA
large,0.27995313692932683,530,NA,NA,NA
large,0.2851203428835986,531,NA,NA,NA
large,0.2863549940936278,532,NA,NA,NA
large,0.2882410365827704,533,NA,NA,NA
large,0.2894874119612927,534,NA,NA,NA
large,0.2900322247841532,535,NA,NA,NA
large,0.29820332844417524,536,NA,NA,NA
large,0.2999151987517271,535,NA,NA,NA
large,0.3008951298845491,534,NA,NA,NA
large,0.30613419142523746,535,NA,NA,NA
large,0.3068376751889178,536,NA,NA,NA
large,0.3097519207717061,537,NA,NA,NA
large,0.31212711138519056,538,NA,NA,NA
large,0.3129795671076712,539,NA,NA,NA
large,0.3142679195676549,538,NA,NA,NA
large,0.31914415524623724,539,NA,NA,NA
large,0.31950387875724157,538,NA,NA,NA
large,0.32121558111994625,537,NA,NA,NA
large,0.32413477920844436,538,NA,NA,NA
large,0.3275409687514614,539,NA,NA,NA
large,0.3295305511722523,540,NA,NA,NA
large,0.3298771356874907,539,NA,NA,NA
large,0.32997242473207183,538,NA,NA,NA
large,0.3335655962898602,539,NA,NA,NA
large,0.3380984088122083,540,NA,NA,NA
large,0.33872780981524814,541,NA,NA,NA
large,0.33902969671031324,542,NA,NA,NA
large,0.33956802874664943,543,NA,NA,NA
large,0.34006310570752935,544,NA,NA,NA
large,0.34269044098711543,545,NA,NA,NA
large,0.3435813337954116,546,NA,NA,NA
large,0.34408936025506603,545,NA,NA,NA
large,0.3483374555553173,546,NA,NA,NA
large,0.35510977265553695,545,NA,NA,NA
large,0.3563712494715841,546,NA,NA,NA
large,0.36194730401240954,547,NA,NA,NA
large,0.36682913349864293,548,NA,NA,NA
large,0.3678578742692217,549,NA,NA,NA
large,0.3702980891823175,548,NA,NA,NA
large,0.37186764500780733,547,NA,NA,NA
large,0.37316960290231277,548,NA,NA,NA
large,0.3777399851148908,549,NA,NA,NA
large,0.3799284023972019,550,NA,NA,NA
large,0.38062364304197904,551,NA,NA,NA
large,0.3874979431040608,552,NA,NA,NA
large,0.39056792411455077,551,NA,NA,NA
large,0.3933260938670323,552,NA,NA,NA
large,0.39338563250355413,551,NA,NA,NA
large,0.40012878974312477,552,NA,NA,NA
large,0.4014031761081168,553,NA,NA,NA
large,0.4088451474078463,554,NA,NA,NA
large,0.4097614014396724,553,NA,NA,NA
large,0.4226832986061717,552,NA,NA,NA
large,0.4240670874597281,551,NA,NA,NA
large,0.4274342061872109,550,NA,NA,NA
large,0.43314160038841465,551,NA,NA,NA
large,0.4374004375444442,552,NA,NA,NA
large,0.43910084463144317,553,NA,NA,NA
large,0.43978546922759365,554,NA,NA,NA
large,0.44284346606848923,555,NA,NA,NA
large,0.44597720375505645,556,NA,NA,NA
large,0.4465322112267849,557,NA,NA,NA
large,0.44706015289809825,556,NA,NA,NA
large,0.44789403768672054,557,NA,NA,NA
large,0.45914148564555624,558,NA,NA,NA
large,0.45988448517314495,557,NA,NA,NA
large,0.4656426053702475,556,NA,NA,NA
large,0.46909303020355875,555,NA,NA,NA
large,0.46914973766496554,556,NA,NA,NA
large,0.47699361255112355,555,NA,NA,NA
large,0.4778799886151358,554,NA,NA,NA
large,0.4810370958123426,555,NA,NA,NA
large,0.48173152924258217,556,NA,NA,NA
large,0.4893405450162368,557,NA,NA,NA
large,0.4923139716241008,556,NA,NA,NA
large,0.4923982273043078,557,NA,NA,NA
large,0.4942674502418295,558,NA,NA,NA
large,0.4965420826596294,557,NA,NA,NA
large,0.4965674099810896,558,NA,NA,NA
large,0.5015599578715133,559,NA,NA,NA
large,0.5069541182664046,560,NA,NA,NA
large,0.5090977596774925,561,NA,NA,NA
large,0.5096895825832549,562,NA,NA,NA
large,0.5121659685739688,561,NA,NA,NA
large,0.5143070123371657,562,NA,NA,NA
large,0.5178746996925625,563,NA,NA,NA
large,0.5196548413985528,562,NA,NA,NA
large,0.5201827524390564,561,NA,NA,NA
large,0.5203058256875811,560,NA,NA,NA
large,0.5249215127228531,559,NA,NA,NA
large,0.5288918888962055,560,NA,NA,NA
large,0.5360986282827883,561,NA,NA,NA
large,0.5469676378368198,560,NA,NA,NA
large,0.5485232016600857,561,NA,NA,NA
large,0.5494021429677611,560,NA,NA,NA
large,0.5550064167703354,561,NA,NA,NA
large,0.5568530394270689,562,NA,NA,NA
large,0.5568634512938874,563,NA,NA,NA
large,0.5577045981807033,564,NA,NA,NA
large,0.5580416293208579,563,NA,NA,NA
large,0.5605371722128287,564,NA,NA,NA
large,0.5646320479193326,563,NA,NA,NA
large,0.5699364308033117,564,NA,NA,NA
large,0.5720043960286563,565,NA,NA,NA
large,0.5820175396002196,564,NA,NA,NA
large,0.5840508910697129,565,NA,NA,NA
large,0.5859357941029398,566,NA,NA,NA
large,0.5909750636235355,567,NA,NA,NA
large,0.5936664777348293,568,NA,NA,NA
large,0.5946847874051828,569,NA,NA,NA
large,0.5996346934003566,568,NA,NA,NA
large,0.6041451702793553,569,NA,NA,NA
large,0.6054292774223285,568,NA,NA,NA
large,0.607615219117926,569,NA,NA,NA
large,0.6103392884686334,570,NA,NA,NA
large,0.613485796435893,571,NA,NA,NA
large,0.6187327510708913,570,NA,NA,NA
large,0.623639571059269,571,NA,NA,NA
large,0.6273845064349879,572,NA,NA,NA
large,0.6281300599274062,571,NA,NA,NA
large,0.629989725672364,572,NA,NA,NA
large,0.6370419344739752,573,NA,NA,NA
large,0.6428289310171055,572,NA,NA,NA
large,0.653316867986244,573,NA,NA,NA
large,0.6535607930715368,574,NA,NA,NA
large,0.655024849561971,575,NA,NA,NA
large,0.6555830342154916,574,NA,NA,NA
large,0.6564459244626901,575,NA,NA,NA
large,0.6586925665830797,576,NA,NA,NA
large,0.6590093893593469,575,NA,NA,NA
large,0.6602245546556734,576,NA,NA,NA
large,0.6652680494004892,577,NA,NA,NA
large,0.6688827034730906,578,NA,NA,NA
large,0.6752433686165237,579,NA,NA,NA
large,0.6758672812953593,580,NA,NA,NA
large,0.6760118458627231,581,NA,NA,NA
large,0.6775882831914481,580,NA,NA,NA
large,0.6854631805665238,581,NA,NA,NA
large,0.690470761069369,582,NA,NA,NA
large,0.6911281991051748,583,NA,NA,NA
large,0.6913064969816621,584,NA,NA,NA
large,0.6915155867927697,583,NA,NA,NA
large,0.6943355445760248,582,NA,NA,NA
large,0.7043572839780239,581,NA,NA,NA
large,0.705482468138204,582,NA,NA,NA
large,0.7075300089593,583,NA,NA,NA
large,0.7111272358648998,584,NA,NA,NA
large,0.7142991236243453,583,NA,NA,NA
large,0.7143842715107238,584,NA,NA,NA
large,0.7152748829861046,585,NA,NA,NA
large,0.7167085719345322,586,NA,NA,NA
large,0.7181251052060548,585,NA,NA,NA
large,0.7272640043885727,584,NA,NA,NA
large,0.7287670991413565,585,NA,NA,NA
large,0.7337924052971175,586,NA,NA,NA
large,0.7357707625904346,587,NA,NA,NA
large,0.7380003526655073,588,NA,NA,NA
large,0.7396805660275165,589,NA,NA,NA
large,0.7417562744458329,588,NA,NA,NA
large,0.7426124969417204,589,NA,NA,NA
large,0.7429224542236286,588,NA,NA,NA
large,0.743495288383806,589,NA,NA,NA
large,0.7508483707726221,590,NA,NA,NA
large,0.7528045185604152,591,NA,NA,NA
large,0.7528432090232505,592,NA,NA,NA
large,0.7530161096546041,591,NA,NA,NA
large,0.7550432123989654,590,NA,NA,NA
large,0.7560345571617437,591,NA,NA,NA
large,0.7566700192822075,592,NA,NA,NA
large,0.760221910728519,591,NA,NA,NA
large,0.7621944872111426,590,NA,NA,NA
large,0.76221937929246,591,NA,NA,NA
large,0.7627363259280961,592,NA,NA,NA
large,0.7676093917763229,593,NA,NA,NA
large,0.7760407346439595,594,NA,NA,NA
large,0.7791824385419286,595,NA,NA,NA
large,0.7999106773649357,594,NA,NA,NA
large,0.8013279066392764,595,NA,NA,NA
large,0.8060538569415538,596,NA,NA,NA
large,0.8060873997096015,597,NA,NA,NA
large,0.8081061176691844,596,NA,NA,NA
large,0.8133983708243595,595,NA,NA,NA
large,0.8152481205587295,594,NA,NA,NA
large,0.8210736057663314,595,NA,NA,NA
large,0.8218738732000153,594,NA,NA,NA
large,0.8238630348963258,593,NA,NA,NA
large,0.824753317958536,592,NA,NA,NA
large,0.8277851934254911,593,NA,NA,NA
large,0.8278448947767021,594,NA,NA,NA
large,0.8294269876780199,595,NA,NA,NA
large,0.8311910490877488,596,NA,NA,NA
large,0.8346753668621117,595,NA,NA,NA
large,0.8352766535558641,596,NA,NA,NA
large,0.8360045604534354,595,NA,NA,NA
large,0.837133141407864,596,NA,NA,NA
large,0.8394248147200414,597,NA,NA,NA
large,0.8440676625343633,598,NA,NA,NA
large,0.844696125475821,599,NA,NA,NA
large,0.8492875616700131,600,NA,NA,NA
large,0.8541414576593368,601,NA,NA,NA
large,0.8578625501362797,602,NA,NA,NA
large,0.8588420613548097,603,NA,NA,NA
large,0.86075279193727,604,NA,NA,NA
large,0.8613294504911402,605,NA,NA,NA
large,0.86143272133998,606,NA,NA,NA
large,0.8646435804461313,605,NA,NA,NA
large,0.8661087397296943,606,NA,NA,NA
large,0.8687901524771744,607,NA,NA,NA
large,0.8690850633241333,606,NA,NA,NA
large,0.873008507299792,607,NA,NA,NA
large,0.8776145287130706,606,NA,NA,NA
large,0.8803269097396564,605,NA,NA,NA
large,0.8857477371192535,604,NA,NA,NA
large,0.8862066953270434,605,NA,NA,NA
large,0.886807491417734,604,NA,NA,NA
large,0.8912125237379634,605,NA,NA,NA
large,0.8962594604823385,604,NA,NA,NA
large,0.8963252339203496,605,NA,NA,NA
large,0.8986072193562302,606,NA,NA,NA
large,0.9010551171929133,607,NA,NA,NA
large,0.9014389059590262,608,NA,NA,NA
large,0.9022554193199464,607,NA,NA,NA
large,0.9062115038052522,606,NA,NA,NA
large,0.9119635280530652,605,NA,NA,NA
large,0.9156000604731993,606,NA,NA,NA
large,0.9170495280971791,605,NA,NA,NA
large,0.9223787433312779,606,NA,NA,NA
large,0.9239321670796238,607,NA,NA,NA
large,0.9297819342868778,608,NA,NA,NA
large,0.9355336063578813,609,NA,NA,NA
large,0.9384732790622714,610,NA,NA,NA
large,0.9472271629965144,611,NA,NA,NA
large,0.9533957926065287,610,NA,NA,NA
large,0.9545758637927999,611,NA,NA,NA
large,0.9546712772870978,612,NA,NA,NA
large,0.9586957139875216,613,NA,NA,NA
large,0.9604441253601059,612,NA,NA,NA
large,0.9733829866172687,613,NA,NA,NA
large,0.9794662681216507,612,NA,NA,NA
large,0.9797987840493441,613,NA,NA,NA
large,0.9810908372675944,612,NA,NA,NA
large,0.981489210427843,613,NA,NA,NA
large,0.9818093838680614,612,NA,NA,NA
large,0.9848058960112474,611,NA,NA,NA
large,0.9855959608045726,610,NA,NA,NA
large,0.9862049227129936,611,NA,NA,NA
large,0.9879430270906577,612,NA,NA,NA
large,0.9929700617005535,613,NA,NA,NA
large,0.9971725362738142,612,NA,NA,NA
large,1.0051109282578876,611,NA,NA,NA
large,1.005514140095147,610,NA,NA,NA
large,1.0081357516349145,611,NA,NA,NA
large,1.0086988822873735,612,NA,NA,NA
large,1.0099546533742332,611,NA,NA,NA
large,1.0108506129134622,612,NA,NA,NA
large,1.012590939275175,613,NA,NA,NA
large,1.012610800162412,614,NA,NA,NA
large,1.0140045834002336,613,NA,NA,NA
large,1.015602252139769,614,NA,NA,NA
large,1.0299686687062357,613,NA,NA,NA
large,1.0301342429394191,612,NA,NA,NA
large,1.0315831587247861,611,NA,NA,NA
large,1.0335137535808308,612,NA,NA,NA
large,1.0341394610050383,611,NA,NA,NA
large,1.0347308617611244,612,NA,NA,NA
large,1.0372449978377916,611,NA,NA,NA
large,1.0404943250152636,610,NA,NA,NA
large,1.043795141639071,611,NA,NA,NA
large,1.0460083483692078,610,NA,NA,NA
large,1.0462568220390445,609,NA,NA,NA
large,1.053137798872592,608,NA,NA,NA
large,1.053933328096011,609,NA,NA,NA
large,1.0569406218358255,608,NA,NA,NA
large,1.0591478603140183,609,NA,NA,NA
large,1.0593865055178269,608,NA,NA,NA
large,1.0630131228730004,609,NA,NA,NA
large,1.0648411231039854,610,NA,NA,NA
large,1.0672546516733687,611,NA,NA,NA
large,1.0683423753808565,612,NA,NA,NA
large,1.068616575251585,613,NA,NA,NA
large,1.0720058070397394,614,NA,NA,NA
large,1.0730288719633907,613,NA,NA,NA
large,1.074757896130926,614,NA,NA,NA
large,1.076785864298213,615,NA,NA,NA
large,1.0816037613766625,614,NA,NA,NA
large,1.086179207122869,615,NA,NA,NA
large,1.0894752549508389,616,NA,NA,NA
large,1.0991574989669188,615,NA,NA,NA
large,1.1011048239044043,616,NA,NA,NA
large,1.1019412068109375,617,NA,NA,NA
large,1.101946566848597,618,NA,NA,NA
large,1.106977903198871,617,NA,NA,NA
large,1.1069940552146402,618,NA,NA,NA
large,1.1156449804489559,617,NA,NA,NA
large,1.1234755640197642,618,NA,NA,NA
large,1.1247330714496264,619,NA,NA,NA
large,1.1371562422502435,620,NA,NA,NA
large,1.140216794824514,619,NA,NA,NA
large,1.140309636267607,620,NA,NA,NA
large,1.1409542402375943,619,NA,NA,NA
large,1.1413891092467656,620,NA,NA,NA
large,1.1417103227988568,621,NA,NA,NA
large,1.1430254547102763,622,NA,NA,NA
large,1.1434295082500006,623,NA,NA,NA
large,1.145067756101974,624,NA,NA,NA
large,1.1453217366899295,625,NA,NA,NA
large,1.145984420768255,626,NA,NA,NA
large,1.1491354295007241,627,NA,NA,NA
large,1.1515123651157815,628,NA,NA,NA
large,1.1584263405048043,627,NA,NA,NA
large,1.1585890687593035,628,NA,NA,NA
large,1.1605509773562082,629,NA,NA,NA
large,1.162719597430775,630,NA,NA,NA
large,1.1643445964877235,629,NA,NA,NA
large,1.1656535510739432,628,NA,NA,NA
large,1.167004723297787,629,NA,NA,NA
large,1.1719444673816461,628,NA,NA,NA
large,1.174413278809837,627,NA,NA,NA
large,1.1798078869996356,626,NA,NA,NA
large,1.1823794364418752,627,NA,NA,NA
large,1.18499986850602,628,NA,NA,NA
large,1.1903883507249158,627,NA,NA,NA
large,1.1934318008820557,628,NA,NA,NA
large,1.1946812433441005,629,NA,NA,NA
large,1.1973938859585065,630,NA,NA,NA
large,1.1976656071139125,629,NA,NA,NA
large,1.2010259972880772,630,NA,NA,NA
large,1.2014625126224798,631,NA,NA,NA
large,1.2068514801022916,632,NA,NA,NA
large,1.2088934175647028,631,NA,NA,NA
large,1.2098841623567815,630,NA,NA,NA
large,1.223799921467079,631,NA,NA,NA
large,1.2284641356383155,632,NA,NA,NA
large,1.2284995138387385,631,NA,NA,NA
large,1.2318182915721796,632,NA,NA,NA
large,1.2324237676558127,633,NA,NA,NA
large,1.2327501577583821,632,NA,NA,NA
large,1.2333565704869742,631,NA,NA,NA
large,1.236062294575131,630,NA,NA,NA
large,1.2361391441567506,631,NA,NA,NA
large,1.2366422463746531,632,NA,NA,NA
large,1.2404403347524335,631,NA,NA,NA
large,1.2404673253451515,632,NA,NA,NA
large,1.2412290842000189,631,NA,NA,NA
large,1.2452806066351894,632,NA,NA,NA
large,1.2452931698190344,633,NA,NA,NA
large,1.2468045235357166,634,NA,NA,NA
large,1.2481668478298127,635,NA,NA,NA
large,1.2557808426787869,634,NA,NA,NA
large,1.2575350179352809,635,NA,NA,NA
large,1.2579079547236025,636,NA,NA,NA
large,1.2636124663162491,635,NA,NA,NA
large,1.2648568344173088,634,NA,NA,NA
large,1.265378109594631,635,NA,NA,NA
large,1.2707020610294726,636,NA,NA,NA
large,1.2719903091810454,637,NA,NA,NA
large,1.2818236438494548,636,NA,NA,NA
large,1.282159442865141,635,NA,NA,NA
large,1.2822922256344764,636,NA,NA,NA
large,1.2837540597769204,635,NA,NA,NA
large,1.2845814197995997,636,NA,NA,NA
large,1.2853276439333545,637,NA,NA,NA
large,1.2859557543947022,636,NA,NA,NA
large,1.2861743447985523,637,NA,NA,NA
large,1.2863092533115466,638,NA,NA,NA
large,1.2878612907846374,639,NA,NA,NA
large,1.2900898777436656,640,NA,NA,NA
large,1.2918182335653325,639,NA,NA,NA
large,1.294811140412668,640,NA,NA,NA
large,1.2948780193541258,641,NA,NA,NA
large,1.295624767325075,642,NA,NA,NA
large,1.3092843049163212,641,NA,NA,NA
large,1.311827720877174,640,NA,NA,NA
large,1.3164990998552812,641,NA,NA,NA
large,1.3174080761437086,642,NA,NA,NA
large,1.322111018417047,643,NA,NA,NA
large,1.3229770968865486,642,NA,NA,NA
large,1.3302614545741231,643,NA,NA,NA
large,1.3321042946508743,644,NA,NA,NA
large,1.3437026580351241,645,NA,NA,NA
large,1.349577190834622,646,NA,NA,NA
large,1.3511362067530974,645,NA,NA,NA
large,1.354292974728553,646,NA,NA,NA
large,1.355225761697085,647,NA,NA,NA
large,1.3561138280394773,648,NA,NA,NA
large,1.357569843172336,647,NA,NA,NA
large,1.3576475170592321,648,NA,NA,NA
large,1.3607088792898028,649,NA,NA,NA
large,1.3621292200923412,648,NA,NA,NA
large,1.3631357570957394,649,NA,NA,NA
large,1.369424741065833,650,NA,NA,NA
large,1.3717431506589832,649,NA,NA,NA
large,1.3749043318220118,650,NA,NA,NA
large,1.3794900994737564,649,NA,NA,NA
large,1.3804439471335825,650,NA,NA,NA
large,1.3824102035704497,651,NA,NA,NA
large,1.3826648720634678,650,NA,NA,NA
large,1.384000015720882,649,NA,NA,NA
large,1.3865883972295643,650,NA,NA,NA
large,1.3881126999906768,651,NA,NA,NA
large,1.393055932237269,650,NA,NA,NA
large,1.3931138491623658,651,NA,NA,NA
large,1.393779016755829,652,NA,NA,NA
large,1.3938777921835885,653,NA,NA,NA
large,1.3981729399314387,654,NA,NA,NA
large,1.3984713276901568,655,NA,NA,NA
large,1.4043707921288147,656,NA,NA,NA
large,1.4063146153484183,657,NA,NA,NA
large,1.4076416328158163,658,NA,NA,NA
large,1.4089120281473775,657,NA,NA,NA
large,1.411272412847258,658,NA,NA,NA
large,1.4151717541825781,659,NA,NA,NA
large,1.4224972167887446,658,NA,NA,NA
large,1.4225342940770638,657,NA,NA,NA
large,1.4241695895748847,658,NA,NA,NA
large,1.42540571479697,657,NA,NA,NA
large,1.4280973026073611,658,NA,NA,NA
large,1.4299654783206828,657,NA,NA,NA
large,1.4305510669901444,656,NA,NA,NA
large,1.4453596524111965,657,NA,NA,NA
large,1.4591243299257017,658,NA,NA,NA
large,1.4613887319340906,657,NA,NA,NA
large,1.4650480871005958,656,NA,NA,NA
large,1.474397608204013,655,NA,NA,NA
large,1.4787934269729623,656,NA,NA,NA
large,1.4874288208954276,657,NA,NA,NA
large,1.4885279997390657,656,NA,NA,NA
large,1.4913425286222113,657,NA,NA,NA
large,1.4992661940933005,656,NA,NA,NA
large,1.5049700651295748,655,NA,NA,NA
large,1.5096337860305828,654,NA,NA,NA
large,1.5102884505980978,653,NA,NA,NA
large,1.511472010940258,652,NA,NA,NA
large,1.5190361296209516,653,NA,NA,NA
large,1.5199564175307065,654,NA,NA,NA
large,1.5204743673914374,655,NA,NA,NA
large,1.5210586115760858,654,NA,NA,NA
large,1.521995544495228,653,NA,NA,NA
large,1.5238700516986297,654,NA,NA,NA
large,1.5263526296575458,655,NA,NA,NA
large,1.526454892338288,654,NA,NA,NA
large,1.5267233460594267,653,NA,NA,NA
large,1.5331148687881515,654,NA,NA,NA
large,1.533587409087615,653,NA,NA,NA
large,1.5354643326777058,652,NA,NA,NA
large,1.5476370153879342,653,NA,NA,NA
large,1.5499072046372435,654,NA,NA,NA
large,1.5502616625054744,655,NA,NA,NA
large,1.551912012323573,654,NA,NA,NA
large,1.5581127847583736,655,NA,NA,NA
large,1.5594876787706666,654,NA,NA,NA
large,1.5595557903485988,653,NA,NA,NA
large,1.5669132533358103,652,NA,NA,NA
large,1.5681241981472436,653,NA,NA,NA
large,1.5693666912980384,654,NA,NA,NA
large,1.579606405115026,653,NA,NA,NA
large,1.5809219120706346,654,NA,NA,NA
large,1.5815836346895094,653,NA,NA,NA
large,1.5859112686592602,654,NA,NA,NA
large,1.5897271522810223,655,NA,NA,NA
large,1.5906604312909267,656,NA,NA,NA
large,1.590904091143154,657,NA,NA,NA
large,1.5935904372678646,656,NA,NA,NA
large,1.5954664999927857,657,NA,NA,NA
large,1.5981535040536081,658,NA,NA,NA
large,1.5984321399801358,657,NA,NA,NA
large,1.6019778346593097,658,NA,NA,NA
large,1.6062533230119653,659,NA,NA,NA
large,1.6085010821391688,658,NA,NA,NA
large,1.6108422847573334,657,NA,NA,NA
large,1.6145733791017365,658,NA,NA,NA
large,1.6173730153716435,659,NA,NA,NA
large,1.6176698940649514,660,NA,NA,NA
large,1.621411917998341,661,NA,NA,NA
large,1.6232314345793752,660,NA,NA,NA
large,1.6286063871685865,659,NA,NA,NA
large,1.6310594063310273,660,NA,NA,NA
large,1.6371576535579286,659,NA,NA,NA
large,1.638407592353343,660,NA,NA,NA
large,1.6399139785840333,659,NA,NA,NA
large,1.6403964436414404,658,NA,NA,NA
large,1.645482242218858,659,NA,NA,NA
large,1.6513917882981217,660,NA,NA,NA
large,1.6539828030608863,659,NA,NA,NA
large,1.6569381534968401,658,NA,NA,NA
large,1.6618598547185603,659,NA,NA,NA
large,1.6728199737056486,658,NA,NA,NA
large,1.6757229572471621,659,NA,NA,NA
large,1.6768610776446435,660,NA,NA,NA
large,1.6784554525275852,661,NA,NA,NA
large,1.6788942304756989,662,NA,NA,NA
large,1.6794886183931663,663,NA,NA,NA
large,1.6884044041482016,664,NA,NA,NA
large,1.6891088179210103,663,NA,NA,NA
large,1.704450778200464,662,NA,NA,NA
large,1.7048530127557158,661,NA,NA,NA
large,1.7061433480420016,660,NA,NA,NA
large,1.7091674048324748,659,NA,NA,NA
large,1.7103081241227744,658,NA,NA,NA
large,1.7164275419226507,659,NA,NA,NA
large,1.7175026938247564,660,NA,NA,NA
large,1.7218063788826339,661,NA,NA,NA
large,1.7256686067967886,662,NA,NA,NA
large,1.7260257194656354,663,NA,NA,NA
large,1.7322818210440627,664,NA,NA,NA
large,1.7338065059132017,665,NA,NA,NA
large,1.7386396143714442,666,NA,NA,NA
large,1.740600837177424,665,NA,NA,NA
large,1.743136684839891,666,NA,NA,NA
large,1.7537504652114226,665,NA,NA,NA
large,1.7554325884641002,666,NA,NA,NA
large,1.7594572775020167,667,NA,NA,NA
large,1.759497705739484,668,NA,NA,NA
large,1.762729780940464,667,NA,NA,NA
large,1.763292972549478,666,NA,NA,NA
large,1.7658239601148338,665,NA,NA,NA
large,1.767863223817812,666,NA,NA,NA
large,1.7682213769583774,667,NA,NA,NA
large,1.774907887965707,668,NA,NA,NA
large,1.7777510665493197,669,NA,NA,NA
large,1.779388320404773,668,NA,NA,NA
large,1.7838559724829939,669,NA,NA,NA
large,1.7847367654905306,670,NA,NA,NA
large,1.7873702656265222,671,NA,NA,NA
large,1.7941157586437162,672,NA,NA,NA
large,1.7979725385939216,671,NA,NA,NA
large,1.8023765392513025,672,NA,NA,NA
large,1.8028028892010715,673,NA,NA,NA
large,1.8042714118230938,674,NA,NA,NA
large,1.8077562444885233,675,NA,NA,NA
large,1.8079926121209335,676,NA,NA,NA
large,1.8081471507375502,675,NA,NA,NA
large,1.8167603460857926,676,NA,NA,NA
large,1.8184603607512368,675,NA,NA,NA
large,1.8234318736823643,676,NA,NA,NA
large,1.8266236345011178,677,NA,NA,NA
large,1.8266902355334294,676,NA,NA,NA
large,1.8295842696090359,677,NA,NA,NA
large,1.830419976370205,676,NA,NA,NA
large,1.8363766397575114,675,NA,NA,NA
